t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),window_start,window_end
2,16,1.6683574592247221,0.3932356242869866,0.9887743653081754,1.0783432617348627,1.389048423202176,1.6375657365614782,1.914144307447557,2.3634350396232837,2.5228018025178347,2023-01-03,2023-01-17
3,17,1.5129958508604777,0.35661654201685133,0.8966972298872097,0.9779252472466933,1.2596967690160334,1.4850715302223911,1.7358944146550925,2.1433460730831544,2.2878722054724143,2023-01-04,2023-01-18
4,18,1.3936733797996603,0.32849196587183815,0.8259791712734467,0.9008011381832927,1.1603507389652337,1.3679513116920987,1.5989930405108632,1.9743110095478973,2.107439083416546,2023-01-05,2023-01-19
5,19,1.303399138453293,0.30721412313100904,0.7724769345690832,0.8424523596731294,1.0851898123277162,1.2793431997401261,1.495419358368072,1.8464263622897732,1.970931156095397,2023-01-06,2023-01-20
6,20,1.3048641042785718,0.2993563560844218,0.7856134302930508,0.8544766737924966,1.0924653760238745,1.2820445285065434,1.4924179554359716,1.8331122610055155,1.9537084852747082,2023-01-07,2023-01-21
7,21,1.1850610291173402,0.27932156326959323,0.7023422710990616,0.7659644930572019,0.9866633465101228,1.1631891752494308,1.3596473647302207,1.6787857690937982,1.791986533713317,2023-01-08,2023-01-22
8,22,1.270425745037895,0.28407583262705494,0.7760090498028422,0.8419525316023572,1.0690726313931946,1.2493158695769686,1.4487939521875834,1.770925189501502,1.884730812729596,2023-01-09,2023-01-23
9,23,1.1113324850379296,0.26194357877440577,0.6586460632066043,0.7183100301206441,0.9252781095920776,1.090821388044457,1.2750569358831672,1.5743401519185298,1.6804981336272902,2023-01-10,2023-01-24
10,24,1.082170817007016,0.2550701077026158,0.64136301056152345,0.6994613786831413,0.9009985592041714,1.0621979368024221,1.241599093531452,1.533029036211857,1.636401403477504,2023-01-11,2023-01-25
11,25,1.2406099444163587,0.27072328467632956,0.7679571090287909,0.831328278136445,1.0489035113986152,1.2209742617859092,1.410935369373605,1.7168871227741909,1.8247823234737437,2023-01-12,2023-01-26
12,26,1.166336110186593,0.2608006826989907,0.7124283966629185,0.7729689393547013,0.98148043620518,1.1469558275311234,1.3300900971633909,1.6258281958014211,1.7303093970299566,2023-01-13,2023-01-27
13,27,1.1443214646472826,0.25587805830634464,0.6989812792430828,0.7583791165204685,0.962954949668226,1.125306985682006,1.3049845878949564,1.5951406168730289,1.6976497308185945,2023-01-14,2023-01-28
14,28,1.122788398118871,0.2510631182541893,0.6858283227941756,0.744108451786563,0.9448347154196618,1.1041317207445038,1.2804282714945165,1.5651243407771458,1.6657045076230093,2023-01-15,2023-01-29
15,29,1.1046326391028147,0.24700336711988863,0.6747383135137993,0.7320760387734947,0.9295565103438844,1.08627764469829,1.25972343773105,1.5398159029549148,1.6387696642606886,2023-01-16,2023-01-30
16,30,1.1989081703250974,0.25560808075790503,0.7513493673681526,0.8116465828549313,1.0180673391194832,1.1807926400694562,1.3600222299359925,1.6479779334561073,1.7493558341604363,2023-01-17,2023-01-31
17,31,1.1838893163768023,0.2524060503372882,0.7419371315589778,0.8014789972238937,1.0053138980685152,1.1660007213525987,1.3429850825185181,1.6273335334051184,1.7274414620449061,2023-01-18,2023-02-01
18,32,1.3748951878340314,0.2696391304580978,0.8981271840381689,0.9634073874826885,1.1847234824525381,1.3573090675729118,1.5459133796829283,1.8463827155252248,1.9515543460876197,2023-01-19,2023-02-02
19,33,1.3951544977186663,0.2684976082729964,0.9194156051112984,0.9847780197387704,1.2059179588255864,1.3779686841665857,1.5656728644916797,1.8641645196349899,1.968512568324834,2023-01-20,2023-02-03
20,34,1.5444449864018572,0.27739050824644385,1.0493754367286485,1.1182036675529208,1.3494193809388622,1.5278701715836405,1.72141581964971,2.027233885432074,2.133668952977997,2023-01-21,2023-02-04
21,35,1.4728164067557263,0.2645256355653516,1.00070729204871,1.0663433933656798,1.286835737976741,1.4570103020267515,1.6415796511700862,1.933214425300767,2.0347132259158642,2023-01-22,2023-02-05
22,36,1.2993704251257487,0.24128703051098555,0.8702087665435811,0.9295416987301411,1.1295294685500803,1.2844660373216172,1.4529770573985572,1.72004839184677,1.8131950765071188,2023-01-23,2023-02-06
